Player,Pos,Squad,Age,MP,Min,Gls,Ast,xG,SoT
Dilane Bakwa,"MF,DF",Strasbourg,21.0,30,2497,6,8,4.7,22
Tommaso Baldanzi,"MF,FW",Roma,21.0,31,832,1,1,1.4,4
Alejandro Balde,DF,Barcelona,20.0,32,2284,0,4,0.5,3
Keita Baldé,FW,Monza,29.0,11,638,2,0,1.1,5
Carlos Baleba,MF,Brighton,20.0,34,2661,3,1,3.1,11
Leonardo Balerdi,DF,Marseille,25.0,27,2273,0,0,0.9,1
Iván Balliu,DF,Rayo Vallecano,32.0,25,1200,0,0,0.0,0
Fodé Ballo-Touré,"DF,MF",Le Havre,27.0,10,589,0,0,0.0,0
Botond Balogh,DF,Parma,22.0,29,2053,0,1,0.4,0
Folarin Balogun,FW,Monaco,23.0,13,615,4,0,4.8,10
Mario Balotelli,"FW,MF",Genoa,33.0,6,62,0,0,0.0,0
Abdoulaye Bamba,DF,Angers,34.0,19,1510,0,0,0.1,0
Jonathan Bamba,"FW,MF",Celta Vigo,28.0,12,811,0,1,0.8,6
Mohamed Bamba,MF,Reims,19.0,2,10,0,0,0.0,0
Samuel Bamba,"FW,MF",Bochum,20.0,5,27,0,0,0.1,1
Lameck Banda,"FW,MF",Lecce,23.0,15,610,0,1,1.2,4
Daniel Bandeira,MF,Hellas Verona,24.0,11,407,0,0,0.0,1
Mattia Bani,DF,Genoa,30.0,20,1507,0,0,1.2,3
Noahkai Banks,DF,Augsburg,17.0,8,278,0,0,0.1,0
Scott Banks,"FW,MF",St. Pauli,22.0,12,116,0,0,0.3,0
Adrian Baquerin,FW,Valladolid,17.0,5,49,0,0,0.4,0
Antonín Barák,MF,Fiorentina,29.0,1,54,0,0,0.1,2
Federico Barba,DF,Como,30.0,7,431,0,0,0.2,1
Valentín Barco,"DF,FW",Sevilla,20.0,7,288,0,0,0.3,0
Valentín Barco,"MF,DF",Strasbourg,20.0,14,1157,0,2,0.5,1
Bradley Barcola,FW,Paris S-G,21.0,34,2181,14,10,13.4,38
Melvin Bard,"DF,MF",Nice,23.0,24,1938,2,1,2.2,8
Nicolò Barella,MF,Inter,27.0,32,2456,3,6,2.2,9
Gabriel Bares,"MF,DF",Montpellier,23.0,6,56,0,0,0.0,0
Borna Barišić,DF,Leganés,31.0,1,9,0,0,0.0,0
Téo Barisic,DF,Lyon,19.0,1,2,0,0,0.0,0
Kike Barja,"FW,MF",Osasuna,27.0,15,315,0,1,0.2,1
Ross Barkley,MF,Aston Villa,30.0,20,581,3,1,1.8,5
